time,open,high,low,close,Volume,Volume MA
1554120000,33.55,34.05,33.2,33.45,635,1706.55
1554724800,33.5,33.55,32.98,33.19,813,1707.3
1555329600,33.06,33.25,32.18,32.18,653,1669.45
1555934400,32.13,32.28,31.28,31.28,1748,1674.05
1556539200,31.4,31.4,30.61,31.18,1340,1630.95
1557144000,31.16,31.4,30.4,31.08,700,1437.6
1557748800,31.15,35.95,31.15,35.88,14508,2067.6
1558353600,35.89,37.1,34.38,35.76,16979,2724.7
1558958400,35.85,40.29,35.72,38.84,20174,3372.8
1559563200,38.85,39.41,35.63,36.89,18244,4139.45
1560168000,36.7,39.62,35.77,39.55,19109,5027.2
1560772800,39.39,40.37,37.5,37.77,14479,5723.5
1561377600,37.69,39.21,36.8,37.16,15189,6482.95
1561982400,37,38.54,36.35,37.9,15502,7258.05
1562587200,37.9,38.1,36.81,37.98,9344,7515.15
1563192000,40,40.24,39,39.3,2746,7652.4
1563796800,38.91,39.25,38.37,39.04,1874,7745.55
1564401600,38.81,39,37.8,38.35,3150,7902.95
1565006400,38.31,40.35,38.1,40.1,6006,8203.25
1565611200,40.1,40.6,37.52,38.08,6446,8481.95
1566216000,37.91,38,37.01,37.57,5781,8739.25
1566820800,37.45,38.76,37.45,38.5,6102,9003.7
1567425600,38.59,38.9,37.41,37.56,6853,9313.7
1568030400,37.63,39.58,37.42,39.41,12301,9841.35
1568635200,40.94,41.3,40.5,41.3,1710,9859.85
1569240000,41.1,41.7,41.1,41.28,1528,9901.25
1569844800,41.39,42.15,40.6,41.15,1820,9266.85
1570449600,41.1,41.64,41.1,41.51,372,8436.5
